,0,Jun 2022,          11.3%        ,10.0%,Unnamed: 4
1907,58.0,Aug 2017,          2.4%        ,1.8%,
1908,59.0,Jul 2017,          1.9%        ,1.7%,
1909,60.0,Jun 2017,          2.0%        ,2.1%,
1910,61.0,May 2017,          2.4%        ,2.6%,
1911,62.0,Apr 2017,          2.5%        ,2.5%,
1912,63.0,Mar 2017,          2.3%        ,,
1913,64.0,Feb 2017,          2.2%        ,,
1914,65.0,Jan 2017,          1.6%        ,,
1915,66.0,Dec 2016,          1.6%        ,,
1916,67.0,Nov 2016,          1.3%        ,,
1917,68.0,Oct 2016,          0.8%        ,,
1918,69.0,Sep 2016,          0.7%        ,,
1919,70.0,Aug 2016,          0.0%        ,,
1920,71.0,Jul 2016,          -0.2%        ,,
1921,72.0,Jun 2016,          0.3%        ,,
1922,73.0,May 2016,          -0.1%        ,,
1923,74.0,Apr 2016,          0.0%        ,,
1924,75.0,Mar 2016,          -0.1%        ,,
1925,76.0,Feb 2016,          0.0%        ,,
1926,77.0,Jan 2016,          -0.2%        ,,
1927,78.0,Dec 2015,          -1.0%        ,,
1928,79.0,Nov 2015,          -1.1%        ,,
1929,80.0,Oct 2015,          -1.6%        ,,
1930,81.0,Sep 2015,          -1.1%        ,,
1931,82.0,Aug 2015,          -0.8%        ,,
1932,83.0,Jul 2015,          -0.8%        ,,
1933,84.0,Jun 2015,          -0.7%        ,,
1934,85.0,May 2015,          -1.1%        ,,
1935,86.0,Apr 2015,          -1.3%        ,,
1936,87.0,Mar 2015,          -0.8%        ,,
1937,88.0,Feb 2015,          -0.6%        ,,
1938,89.0,Jan 2015,          0.0%        ,,
1939,90.0,Dec 2014,          1.1%        ,,
1940,91.0,Nov 2014,          1.4%        ,,
1941,92.0,Oct 2014,          1.5%        ,,
1942,93.0,Sep 2014,          1.6%        ,,
1943,94.0,Aug 2014,          1.8%        ,,
1944,95.0,Jul 2014,          1.7%        ,,
1945,96.0,Jun 2014,          1.9%        ,,
1946,97.0,May 2014,          2.0%        ,,
1947,98.0,Apr 2014,          2.1%        ,,
1948,99.0,Mar 2014,          1.4%        ,,
1949,100.0,Feb 2014,          0.9%        ,,
1950,101.0,Jan 2014,          1.2%        ,,
1951,102.0,Dec 2013,          1.2%        ,,
1952,103.0,Nov 2013,          0.7%        ,,
1953,104.0,Oct 2013,          0.3%        ,,
1954,105.0,Sep 2013,          0.3%        ,,
1955,106.0,Aug 2013,          1.4%        ,,
1956,107.0,Jul 2013,          2.1%        ,,
1957,108.0,Jun 2013,          2.5%        ,,
1958,109.0,May 2013,          1.7%        ,,
1959,110.0,Apr 2013,          0.6%        ,,
1960,111.0,Mar 2013,          1.1%        ,,
1961,112.0,Feb 2013,          1.7%        ,,
1962,113.0,Jan 2013,          1.4%        ,,
1963,114.0,Dec 2012,          1.3%        ,,
1964,115.0,Nov 2012,          1.5%        ,,
1965,116.0,Oct 2012,          2.3%        ,,
1966,117.0,Sep 2012,          2.1%        ,,
1967,118.0,Aug 2012,          2.0%        ,,
1968,119.0,Jul 2012,          0.5%        ,,
1969,120.0,Jun 2012,          0.7%        ,,
1970,121.0,May 2012,          0.7%        ,,
1971,122.0,Apr 2012,          1.9%        ,,
1972,123.0,Mar 2012,          2.8%        ,,
1973,124.0,Feb 2012,          3.3%        ,,
1974,125.0,Jan 2012,          4.1%        ,,
1975,126.0,Dec 2011,          4.8%        ,,
1976,127.0,Nov 2011,          5.7%        ,,
1977,128.0,Oct 2011,          5.9%        ,,
1978,129.0,Sep 2011,          6.9%        ,,
1979,130.0,Aug 2011,          6.5%        ,,
1980,131.0,Jul 2011,          7.2%        ,,
1981,132.0,Jun 2011,          7.0%        ,,
1982,133.0,May 2011,          7.3%        ,,
1983,134.0,Apr 2011,          6.8%        ,,
1984,135.0,Mar 2011,          5.8%        ,,
1985,136.0,Feb 2011,          5.6%        ,,
1986,137.0,Jan 2011,          3.6%        ,,
1987,138.0,Dec 2010,          4.0%        ,,
1988,139.0,Nov 2010,          3.5%        ,,
1989,140.0,Oct 2010,          4.3%        ,,
1990,141.0,Sep 2010,          4.0%        ,,
1991,142.0,Aug 2010,          3.1%        ,,
1992,143.0,Jul 2010,          4.2%        ,,
1993,144.0,Jun 2010,          2.8%        ,,
1994,145.0,May 2010,          5.3%        ,,
1995,146.0,Apr 2010,          5.5%        ,,
1996,147.0,Mar 2010,          6.0%        ,,
1997,148.0,Feb 2010,          4.4%        ,,
1998,149.0,Jan 2010,          4.6%        ,,
1999,150.0,Dec 2009,          4.4%        ,,
2000,151.0,Nov 2009,          2.4%        ,,
2001,152.0,Oct 2009,          -1.9%        ,,
2002,153.0,Sep 2009,          -4.8%        ,,
2003,154.0,Aug 2009,          -4.3%        ,,
2004,155.0,Jul 2009,          -6.8%        ,,
2005,156.0,Jun 2009,          -4.6%        ,,
2006,157.0,May 2009,          -5.0%        ,,
2007,158.0,Apr 2009,          -3.7%        ,,
2008,159.0,Mar 2009,          -3.5%        ,,
2009,160.0,Feb 2009,          -1.3%        ,,
2010,161.0,Jan 2009,          1.0%        ,,
2011,162.0,Dec 2008,          -0.9%        ,,
2012,163.0,Nov 2008,          0.4%        ,,
2013,164.0,Oct 2008,          5.2%        ,,
2014,165.0,Sep 2008,          8.7%        ,,
2015,166.0,Aug 2008,          9.6%        ,,
2016,167.0,Jul 2008,          9.8%        ,,
2017,168.0,Jun 2008,          9.2%        ,,
2018,169.0,May 2008,          7.2%        ,,
2019,170.0,Apr 2008,          6.5%        ,,
2020,171.0,Mar 2008,          6.9%        ,,
2021,172.0,Feb 2008,          6.4%        ,,
2022,173.0,Jan 2008,          7.4%        ,,
2023,174.0,Dec 2007,          6.3%        ,,
2024,175.0,Nov 2007,          7.2%        ,,
2025,176.0,Oct 2007,          6.1%        ,,
2026,177.0,Sep 2007,          4.4%        ,,
2027,178.0,Aug 2007,          2.2%        ,,
2028,179.0,Jul 2007,          4.0%        ,,
2029,180.0,Jun 2007,          3.3%        ,,
2030,181.0,May 2007,          4.1%        ,,
2031,182.0,Apr 2007,          3.2%        ,,
2032,183.0,Feb 2007,          3.2%        ,,
2033,184.0,Jan 2007,          0.2%        ,,
2034,0.0,Jun 2022,          11.3%        ,10.0%,
2035,1.0,May 2022,          10.8%        ,11.1%,
2036,2.0,Apr 2022,          11.0%        ,12.2%,
2037,3.0,Mar 2022,          11.2%        ,9.4%,
2038,4.0,Feb 2022,          10.0%        ,9.1%,
2039,5.0,Jan 2022,          9.7%        ,10.1%,
2040,6.0,Dec 2021,          9.7%        ,10.1%,
2041,7.0,Nov 2021,          9.6%        ,8.3%,
2042,8.0,Oct 2021,          8.6%        ,8.6%,
2043,9.0,Sep 2021,          8.6%        ,8.7%,
2044,10.0,Aug 2021,          8.3%        ,7.8%,
2045,11.0,Jul 2021,          7.8%        ,7.3%,
2046,12.0,Jun 2021,          7.3%        ,7.1%,
2047,13.0,May 2021,          6.6%        ,7.2%,
2048,14.0,Apr 2021,          6.2%        ,4.9%,
2049,15.0,Mar 2021,          4.2%        ,3.7%,
2050,16.0,Feb 2021,          2.8%        ,2.4%,
2051,17.0,Jan 2021,          1.7%        ,0.7%,
2052,18.0,Dec 2020,          0.8%        ,0.4%,
2053,19.0,Nov 2020,          0.8%        ,1.0%,
2054,20.0,Oct 2020,          0.5%        ,1.0%,
2055,21.0,Sep 2020,          0.4%        ,-0.1%,
2056,22.0,Aug 2020,          -0.2%        ,-0.3%,
2057,23.0,Jul 2020,          -0.4%        ,-0.3%,
2058,24.0,Jun 2020,          -0.8%        ,-1.0%,
2059,25.0,May 2020,          -0.8%        ,-0.3%,
2060,26.0,Apr 2020,          -1.2%        ,1.0%,
2061,27.0,Mar 2020,          0.7%        ,1.0%,
2062,28.0,Feb 2020,          1.3%        ,2.4%,
2063,29.0,Jan 2020,          2.1%        ,1.6%,
2064,30.0,Dec 2019,          1.3%        ,1.0%,
2065,31.0,Nov 2019,          1.1%        ,0.4%,
2066,32.0,Oct 2019,          1.1%        ,0.9%,
2067,33.0,Sep 2019,          1.4%        ,2.2%,
2068,34.0,Aug 2019,          1.8%        ,2.1%,
2069,35.0,Jul 2019,          1.7%        ,1.2%,
2070,36.0,Jun 2019,          1.7%        ,1.4%,
2071,37.0,May 2019,          1.8%        ,2.2%,
2072,38.0,Apr 2019,          2.2%        ,2.4%,
2073,39.0,Mar 2019,          2.2%        ,1.6%,
2074,40.0,Feb 2019,          1.9%        ,1.4%,
2075,41.0,Jan 2019,          2.0%        ,2.0%,
2076,42.0,Dec 2018,          2.5%        ,2.8%,
2077,43.0,Nov 2018,          2.5%        ,2.6%,
2078,44.0,Oct 2018,          2.9%        ,1.9%,
2079,45.0,Sep 2018,          2.6%        ,2.5%,
2080,46.0,Aug 2018,          2.8%        ,3.4%,
2081,47.0,Jul 2018,          3.3%        ,3.2%,
2082,48.0,Jun 2018,          3.4%        ,2.7%,
2083,49.0,May 2018,          3.1%        ,2.7%,
2084,50.0,Apr 2018,          2.6%        ,3.1%,
2085,51.0,Mar 2018,          3.0%        ,2.7%,
2086,52.0,Feb 2018,          2.8%        ,2.3%,
2087,53.0,Jan 2018,          2.7%        ,2.2%,
2088,54.0,Dec 2017,          2.6%        ,2.8%,
2089,55.0,Nov 2017,          3.1%        ,3.0%,
2090,56.0,Oct 2017,          2.8%        ,2.9%,
2091,57.0,Sep 2017,          2.6%        ,2.6%,
2092,58.0,Aug 2017,          2.4%        ,1.8%,
2093,59.0,Jul 2017,          1.9%        ,1.7%,
2094,60.0,Jun 2017,          2.0%        ,2.1%,
2095,61.0,May 2017,          2.4%        ,2.6%,
2096,62.0,Apr 2017,          2.5%        ,2.5%,
2097,63.0,Mar 2017,          2.3%        ,,
2098,64.0,Feb 2017,          2.2%        ,,
2099,65.0,Jan 2017,          1.6%        ,,
2100,66.0,Dec 2016,          1.6%        ,,
2101,67.0,Nov 2016,          1.3%        ,,
2102,68.0,Oct 2016,          0.8%        ,,
2103,69.0,Sep 2016,          0.7%        ,,
2104,70.0,Aug 2016,          0.0%        ,,
2105,71.0,Jul 2016,          -0.2%        ,,
2106,72.0,Jun 2016,          0.3%        ,,
2107,73.0,May 2016,          -0.1%        ,,
2108,74.0,Apr 2016,          0.0%        ,,
2109,75.0,Mar 2016,          -0.1%        ,,
2110,76.0,Feb 2016,          0.0%        ,,
2111,77.0,Jan 2016,          -0.2%        ,,
2112,78.0,Dec 2015,          -1.0%        ,,
2113,79.0,Nov 2015,          -1.1%        ,,
2114,80.0,Oct 2015,          -1.6%        ,,
2115,81.0,Sep 2015,          -1.1%        ,,
2116,82.0,Aug 2015,          -0.8%        ,,
2117,83.0,Jul 2015,          -0.8%        ,,
2118,84.0,Jun 2015,          -0.7%        ,,
2119,85.0,May 2015,          -1.1%        ,,
2120,86.0,Apr 2015,          -1.3%        ,,
2121,87.0,Mar 2015,          -0.8%        ,,
2122,88.0,Feb 2015,          -0.6%        ,,
2123,89.0,Jan 2015,          0.0%        ,,
2124,90.0,Dec 2014,          1.1%        ,,
2125,91.0,Nov 2014,          1.4%        ,,
2126,92.0,Oct 2014,          1.5%        ,,
2127,93.0,Sep 2014,          1.6%        ,,
2128,94.0,Aug 2014,          1.8%        ,,
2129,95.0,Jul 2014,          1.7%        ,,
2130,96.0,Jun 2014,          1.9%        ,,
2131,97.0,May 2014,          2.0%        ,,
2132,98.0,Apr 2014,          2.1%        ,,
2133,99.0,Mar 2014,          1.4%        ,,
2134,100.0,Feb 2014,          0.9%        ,,
2135,101.0,Jan 2014,          1.2%        ,,
2136,102.0,Dec 2013,          1.2%        ,,
2137,103.0,Nov 2013,          0.7%        ,,
2138,104.0,Oct 2013,          0.3%        ,,
2139,105.0,Sep 2013,          0.3%        ,,
2140,106.0,Aug 2013,          1.4%        ,,
2141,107.0,Jul 2013,          2.1%        ,,
2142,108.0,Jun 2013,          2.5%        ,,
2143,109.0,May 2013,          1.7%        ,,
2144,110.0,Apr 2013,          0.6%        ,,
2145,111.0,Mar 2013,          1.1%        ,,
2146,112.0,Feb 2013,          1.7%        ,,
2147,113.0,Jan 2013,          1.4%        ,,
2148,114.0,Dec 2012,          1.3%        ,,
2149,115.0,Nov 2012,          1.5%        ,,
2150,116.0,Oct 2012,          2.3%        ,,
2151,117.0,Sep 2012,          2.1%        ,,
2152,118.0,Aug 2012,          2.0%        ,,
2153,119.0,Jul 2012,          0.5%        ,,
2154,120.0,Jun 2012,          0.7%        ,,
2155,121.0,May 2012,          0.7%        ,,
2156,122.0,Apr 2012,          1.9%        ,,
2157,123.0,Mar 2012,          2.8%        ,,
2158,124.0,Feb 2012,          3.3%        ,,
2159,125.0,Jan 2012,          4.1%        ,,
2160,126.0,Dec 2011,          4.8%        ,,
2161,127.0,Nov 2011,          5.7%        ,,
2162,128.0,Oct 2011,          5.9%        ,,
2163,129.0,Sep 2011,          6.9%        ,,
2164,130.0,Aug 2011,          6.5%        ,,
2165,131.0,Jul 2011,          7.2%        ,,
2166,132.0,Jun 2011,          7.0%        ,,
2167,133.0,May 2011,          7.3%        ,,
2168,134.0,Apr 2011,          6.8%        ,,
2169,135.0,Mar 2011,          5.8%        ,,
2170,136.0,Feb 2011,          5.6%        ,,
2171,137.0,Jan 2011,          3.6%        ,,
2172,138.0,Dec 2010,          4.0%        ,,
2173,139.0,Nov 2010,          3.5%        ,,
2174,140.0,Oct 2010,          4.3%        ,,
2175,141.0,Sep 2010,          4.0%        ,,
2176,142.0,Aug 2010,          3.1%        ,,
2177,143.0,Jul 2010,          4.2%        ,,
2178,144.0,Jun 2010,          2.8%        ,,
2179,145.0,May 2010,          5.3%        ,,
2180,146.0,Apr 2010,          5.5%        ,,
2181,147.0,Mar 2010,          6.0%        ,,
2182,148.0,Feb 2010,          4.4%        ,,
2183,149.0,Jan 2010,          4.6%        ,,
2184,150.0,Dec 2009,          4.4%        ,,
2185,151.0,Nov 2009,          2.4%        ,,
2186,152.0,Oct 2009,          -1.9%        ,,
2187,153.0,Sep 2009,          -4.8%        ,,
2188,154.0,Aug 2009,          -4.3%        ,,
2189,155.0,Jul 2009,          -6.8%        ,,
2190,156.0,Jun 2009,          -4.6%        ,,
2191,157.0,May 2009,          -5.0%        ,,
2192,158.0,Apr 2009,          -3.7%        ,,
2193,159.0,Mar 2009,          -3.5%        ,,
2194,160.0,Feb 2009,          -1.3%        ,,
2195,161.0,Jan 2009,          1.0%        ,,
2196,162.0,Dec 2008,          -0.9%        ,,
2197,163.0,Nov 2008,          0.4%        ,,
2198,164.0,Oct 2008,          5.2%        ,,
2199,165.0,Sep 2008,          8.7%        ,,
2200,166.0,Aug 2008,          9.6%        ,,
2201,167.0,Jul 2008,          9.8%        ,,
2202,168.0,Jun 2008,          9.2%        ,,
2203,169.0,May 2008,          7.2%        ,,
2204,170.0,Apr 2008,          6.5%        ,,
2205,171.0,Mar 2008,          6.9%        ,,
2206,172.0,Feb 2008,          6.4%        ,,
2207,173.0,Jan 2008,          7.4%        ,,
2208,174.0,Dec 2007,          6.3%        ,,
2209,175.0,Nov 2007,          7.2%        ,,
2210,176.0,Oct 2007,          6.1%        ,,
2211,177.0,Sep 2007,          4.4%        ,,
2212,178.0,Aug 2007,          2.2%        ,,
2213,179.0,Jul 2007,          4.0%        ,,
2214,180.0,Jun 2007,          3.3%        ,,
2215,181.0,May 2007,          4.1%        ,,
2216,182.0,Apr 2007,          3.2%        ,,
2217,183.0,Feb 2007,          3.2%        ,,
2218,184.0,Jan 2007,          0.2%        ,,
2219,0.0,Jun 2022,          11.3%        ,10.0%,
2220,1.0,May 2022,          10.8%        ,11.1%,
2221,2.0,Apr 2022,          11.0%        ,12.2%,
2222,3.0,Mar 2022,          11.2%        ,9.4%,
2223,4.0,Feb 2022,          10.0%        ,9.1%,
2224,5.0,Jan 2022,          9.7%        ,10.1%,
2225,6.0,Dec 2021,          9.7%        ,10.1%,
2226,7.0,Nov 2021,          9.6%        ,8.3%,
2227,8.0,Oct 2021,          8.6%        ,8.6%,
2228,9.0,Sep 2021,          8.6%        ,8.7%,
2229,10.0,Aug 2021,          8.3%        ,7.8%,
2230,11.0,Jul 2021,          7.8%        ,7.3%,
2231,12.0,Jun 2021,          7.3%        ,7.1%,
2232,13.0,May 2021,          6.6%        ,7.2%,
2233,14.0,Apr 2021,          6.2%        ,4.9%,
2234,15.0,Mar 2021,          4.2%        ,3.7%,
2235,16.0,Feb 2021,          2.8%        ,2.4%,
2236,17.0,Jan 2021,          1.7%        ,0.7%,
2237,18.0,Dec 2020,          0.8%        ,0.4%,
2238,19.0,Nov 2020,          0.8%        ,1.0%,
2239,20.0,Oct 2020,          0.5%        ,1.0%,
2240,21.0,Sep 2020,          0.4%        ,-0.1%,
2241,22.0,Aug 2020,          -0.2%        ,-0.3%,
2242,23.0,Jul 2020,          -0.4%        ,-0.3%,
2243,24.0,Jun 2020,          -0.8%        ,-1.0%,
2244,25.0,May 2020,          -0.8%        ,-0.3%,
2245,26.0,Apr 2020,          -1.2%        ,1.0%,
2246,27.0,Mar 2020,          0.7%        ,1.0%,
2247,28.0,Feb 2020,          1.3%        ,2.4%,
2248,29.0,Jan 2020,          2.1%        ,1.6%,
2249,30.0,Dec 2019,          1.3%        ,1.0%,
2250,31.0,Nov 2019,          1.1%        ,0.4%,
2251,32.0,Oct 2019,          1.1%        ,0.9%,
2252,33.0,Sep 2019,          1.4%        ,2.2%,
2253,34.0,Aug 2019,          1.8%        ,2.1%,
2254,35.0,Jul 2019,          1.7%        ,1.2%,
2255,36.0,Jun 2019,          1.7%        ,1.4%,
2256,37.0,May 2019,          1.8%        ,2.2%,
2257,38.0,Apr 2019,          2.2%        ,2.4%,
2258,39.0,Mar 2019,          2.2%        ,1.6%,
2259,40.0,Feb 2019,          1.9%        ,1.4%,
2260,41.0,Jan 2019,          2.0%        ,2.0%,
2261,42.0,Dec 2018,          2.5%        ,2.8%,
2262,43.0,Nov 2018,          2.5%        ,2.6%,
2263,44.0,Oct 2018,          2.9%        ,1.9%,
2264,45.0,Sep 2018,          2.6%        ,2.5%,
2265,46.0,Aug 2018,          2.8%        ,3.4%,
2266,47.0,Jul 2018,          3.3%        ,3.2%,
2267,48.0,Jun 2018,          3.4%        ,2.7%,
2268,49.0,May 2018,          3.1%        ,2.7%,
2269,50.0,Apr 2018,          2.6%        ,3.1%,
2270,51.0,Mar 2018,          3.0%        ,2.7%,
2271,52.0,Feb 2018,          2.8%        ,2.3%,
2272,53.0,Jan 2018,          2.7%        ,2.2%,
2273,54.0,Dec 2017,          2.6%        ,2.8%,
2274,55.0,Nov 2017,          3.1%        ,3.0%,
2275,56.0,Oct 2017,          2.8%        ,2.9%,
2276,57.0,Sep 2017,          2.6%        ,2.6%,
2277,58.0,Aug 2017,          2.4%        ,1.8%,
2278,59.0,Jul 2017,          1.9%        ,1.7%,
2279,60.0,Jun 2017,          2.0%        ,2.1%,
2280,61.0,May 2017,          2.4%        ,2.6%,
2281,62.0,Apr 2017,          2.5%        ,2.5%,
2282,63.0,Mar 2017,          2.3%        ,,
2283,64.0,Feb 2017,          2.2%        ,,
2284,65.0,Jan 2017,          1.6%        ,,
2285,66.0,Dec 2016,          1.6%        ,,
2286,67.0,Nov 2016,          1.3%        ,,
2287,68.0,Oct 2016,          0.8%        ,,
2288,69.0,Sep 2016,          0.7%        ,,
2289,70.0,Aug 2016,          0.0%        ,,
2290,71.0,Jul 2016,          -0.2%        ,,
2291,72.0,Jun 2016,          0.3%        ,,
2292,73.0,May 2016,          -0.1%        ,,
2293,74.0,Apr 2016,          0.0%        ,,
2294,75.0,Mar 2016,          -0.1%        ,,
2295,76.0,Feb 2016,          0.0%        ,,
2296,77.0,Jan 2016,          -0.2%        ,,
2297,78.0,Dec 2015,          -1.0%        ,,
2298,79.0,Nov 2015,          -1.1%        ,,
2299,80.0,Oct 2015,          -1.6%        ,,
2300,81.0,Sep 2015,          -1.1%        ,,
2301,82.0,Aug 2015,          -0.8%        ,,
2302,83.0,Jul 2015,          -0.8%        ,,
2303,84.0,Jun 2015,          -0.7%        ,,
2304,85.0,May 2015,          -1.1%        ,,
2305,86.0,Apr 2015,          -1.3%        ,,
2306,87.0,Mar 2015,          -0.8%        ,,
2307,88.0,Feb 2015,          -0.6%        ,,
2308,89.0,Jan 2015,          0.0%        ,,
2309,90.0,Dec 2014,          1.1%        ,,
2310,91.0,Nov 2014,          1.4%        ,,
2311,92.0,Oct 2014,          1.5%        ,,
2312,93.0,Sep 2014,          1.6%        ,,
2313,94.0,Aug 2014,          1.8%        ,,
2314,95.0,Jul 2014,          1.7%        ,,
2315,96.0,Jun 2014,          1.9%        ,,
2316,97.0,May 2014,          2.0%        ,,
2317,98.0,Apr 2014,          2.1%        ,,
2318,99.0,Mar 2014,          1.4%        ,,
2319,100.0,Feb 2014,          0.9%        ,,
2320,101.0,Jan 2014,          1.2%        ,,
2321,102.0,Dec 2013,          1.2%        ,,
2322,103.0,Nov 2013,          0.7%        ,,
2323,104.0,Oct 2013,          0.3%        ,,
2324,105.0,Sep 2013,          0.3%        ,,
2325,106.0,Aug 2013,          1.4%        ,,
2326,107.0,Jul 2013,          2.1%        ,,
2327,108.0,Jun 2013,          2.5%        ,,
2328,109.0,May 2013,          1.7%        ,,
2329,110.0,Apr 2013,          0.6%        ,,
2330,111.0,Mar 2013,          1.1%        ,,
2331,112.0,Feb 2013,          1.7%        ,,
2332,113.0,Jan 2013,          1.4%        ,,
2333,114.0,Dec 2012,          1.3%        ,,
2334,115.0,Nov 2012,          1.5%        ,,
2335,116.0,Oct 2012,          2.3%        ,,
2336,117.0,Sep 2012,          2.1%        ,,
2337,118.0,Aug 2012,          2.0%        ,,
2338,119.0,Jul 2012,          0.5%        ,,
2339,120.0,Jun 2012,          0.7%        ,,
2340,121.0,May 2012,          0.7%        ,,
2341,122.0,Apr 2012,          1.9%        ,,
2342,123.0,Mar 2012,          2.8%        ,,
2343,124.0,Feb 2012,          3.3%        ,,
2344,125.0,Jan 2012,          4.1%        ,,
2345,126.0,Dec 2011,          4.8%        ,,
2346,127.0,Nov 2011,          5.7%        ,,
2347,128.0,Oct 2011,          5.9%        ,,
2348,129.0,Sep 2011,          6.9%        ,,
2349,130.0,Aug 2011,          6.5%        ,,
2350,131.0,Jul 2011,          7.2%        ,,
2351,132.0,Jun 2011,          7.0%        ,,
2352,133.0,May 2011,          7.3%        ,,
2353,134.0,Apr 2011,          6.8%        ,,
2354,135.0,Mar 2011,          5.8%        ,,
2355,136.0,Feb 2011,          5.6%        ,,
2356,137.0,Jan 2011,          3.6%        ,,
2357,138.0,Dec 2010,          4.0%        ,,
2358,139.0,Nov 2010,          3.5%        ,,
2359,140.0,Oct 2010,          4.3%        ,,
2360,141.0,Sep 2010,          4.0%        ,,
2361,142.0,Aug 2010,          3.1%        ,,
2362,143.0,Jul 2010,          4.2%        ,,
2363,144.0,Jun 2010,          2.8%        ,,
2364,145.0,May 2010,          5.3%        ,,
2365,146.0,Apr 2010,          5.5%        ,,
2366,147.0,Mar 2010,          6.0%        ,,
2367,148.0,Feb 2010,          4.4%        ,,
2368,149.0,Jan 2010,          4.6%        ,,
2369,150.0,Dec 2009,          4.4%        ,,
2370,151.0,Nov 2009,          2.4%        ,,
2371,152.0,Oct 2009,          -1.9%        ,,
2372,153.0,Sep 2009,          -4.8%        ,,
2373,154.0,Aug 2009,          -4.3%        ,,
2374,155.0,Jul 2009,          -6.8%        ,,
2375,156.0,Jun 2009,          -4.6%        ,,
2376,157.0,May 2009,          -5.0%        ,,
2377,158.0,Apr 2009,          -3.7%        ,,
2378,159.0,Mar 2009,          -3.5%        ,,
2379,160.0,Feb 2009,          -1.3%        ,,
2380,161.0,Jan 2009,          1.0%        ,,
2381,162.0,Dec 2008,          -0.9%        ,,
2382,163.0,Nov 2008,          0.4%        ,,
2383,164.0,Oct 2008,          5.2%        ,,
2384,165.0,Sep 2008,          8.7%        ,,
2385,166.0,Aug 2008,          9.6%        ,,
2386,167.0,Jul 2008,          9.8%        ,,
2387,168.0,Jun 2008,          9.2%        ,,
2388,169.0,May 2008,          7.2%        ,,
2389,170.0,Apr 2008,          6.5%        ,,
2390,171.0,Mar 2008,          6.9%        ,,
2391,172.0,Feb 2008,          6.4%        ,,
2392,173.0,Jan 2008,          7.4%        ,,
2393,174.0,Dec 2007,          6.3%        ,,
2394,175.0,Nov 2007,          7.2%        ,,
2395,176.0,Oct 2007,          6.1%        ,,
2396,177.0,Sep 2007,          4.4%        ,,
2397,178.0,Aug 2007,          2.2%        ,,
2398,179.0,Jul 2007,          4.0%        ,,
2399,180.0,Jun 2007,          3.3%        ,,
2400,181.0,May 2007,          4.1%        ,,
2401,182.0,Apr 2007,          3.2%        ,,
2402,183.0,Feb 2007,          3.2%        ,,
2403,184.0,Jan 2007,          0.2%        ,,
2404,0.0,Jun 2022,          11.3%        ,10.0%,
2405,1.0,May 2022,          10.8%        ,11.1%,
2406,2.0,Apr 2022,          11.0%        ,12.2%,
2407,3.0,Mar 2022,          11.2%        ,9.4%,
2408,4.0,Feb 2022,          10.0%        ,9.1%,
2409,5.0,Jan 2022,          9.7%        ,10.1%,
2410,6.0,Dec 2021,          9.7%        ,10.1%,
2411,7.0,Nov 2021,          9.6%        ,8.3%,
2412,8.0,Oct 2021,          8.6%        ,8.6%,
2413,9.0,Sep 2021,          8.6%        ,8.7%,
2414,10.0,Aug 2021,          8.3%        ,7.8%,
2415,11.0,Jul 2021,          7.8%        ,7.3%,
2416,12.0,Jun 2021,          7.3%        ,7.1%,
2417,13.0,May 2021,          6.6%        ,7.2%,
2418,14.0,Apr 2021,          6.2%        ,4.9%,
2419,15.0,Mar 2021,          4.2%        ,3.7%,
2420,16.0,Feb 2021,          2.8%        ,2.4%,
2421,17.0,Jan 2021,          1.7%        ,0.7%,
2422,18.0,Dec 2020,          0.8%        ,0.4%,
2423,19.0,Nov 2020,          0.8%        ,1.0%,
2424,20.0,Oct 2020,          0.5%        ,1.0%,
2425,21.0,Sep 2020,          0.4%        ,-0.1%,
2426,22.0,Aug 2020,          -0.2%        ,-0.3%,
2427,23.0,Jul 2020,          -0.4%        ,-0.3%,
2428,24.0,Jun 2020,          -0.8%        ,-1.0%,
2429,25.0,May 2020,          -0.8%        ,-0.3%,
2430,26.0,Apr 2020,          -1.2%        ,1.0%,
2431,27.0,Mar 2020,          0.7%        ,1.0%,
2432,28.0,Feb 2020,          1.3%        ,2.4%,
2433,29.0,Jan 2020,          2.1%        ,1.6%,
2434,30.0,Dec 2019,          1.3%        ,1.0%,
2435,31.0,Nov 2019,          1.1%        ,0.4%,
2436,32.0,Oct 2019,          1.1%        ,0.9%,
2437,33.0,Sep 2019,          1.4%        ,2.2%,
2438,34.0,Aug 2019,          1.8%        ,2.1%,
2439,35.0,Jul 2019,          1.7%        ,1.2%,
2440,36.0,Jun 2019,          1.7%        ,1.4%,
2441,37.0,May 2019,          1.8%        ,2.2%,
2442,38.0,Apr 2019,          2.2%        ,2.4%,
2443,39.0,Mar 2019,          2.2%        ,1.6%,
2444,40.0,Feb 2019,          1.9%        ,1.4%,
2445,41.0,Jan 2019,          2.0%        ,2.0%,
2446,42.0,Dec 2018,          2.5%        ,2.8%,
2447,43.0,Nov 2018,          2.5%        ,2.6%,
2448,44.0,Oct 2018,          2.9%        ,1.9%,
2449,45.0,Sep 2018,          2.6%        ,2.5%,
2450,46.0,Aug 2018,          2.8%        ,3.4%,
2451,47.0,Jul 2018,          3.3%        ,3.2%,
2452,48.0,Jun 2018,          3.4%        ,2.7%,
2453,49.0,May 2018,          3.1%        ,2.7%,
2454,50.0,Apr 2018,          2.6%        ,3.1%,
2455,51.0,Mar 2018,          3.0%        ,2.7%,
2456,52.0,Feb 2018,          2.8%        ,2.3%,
